trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
352,False,,False,,,,False,False,False,,,,
353,False,,False,,,,False,False,False,,,,
354,False,,False,,,,False,False,False,,,,
355,True,108.0,False,,,0.35902679504681534,True,True,False,,,,34.49898268685462
356,False,,False,,,,False,False,False,,,,
357,False,,False,,,,False,False,False,,,,
358,False,,False,,,,False,False,False,,,,
359,False,,False,,,,False,False,False,,,,
360,False,,False,,,,False,False,False,,,,
361,True,142.0,False,,,0.14009332365862837,True,False,True,,,,23.775512159945404
362,True,142.0,False,,,0.8416039583487502,True,True,False,,,,43.72170982346988
363,True,88.0,False,,,0.9997323595598947,True,True,False,,,,52.8087162229596
364,False,,False,,,,False,False,False,,,,
365,False,,False,,,,False,False,False,,,,
366,True,80.0,False,,,0.9962590820028884,True,True,False,,,,49.118633362954085
367,False,,False,,,,False,False,False,,,,
368,True,180.0,False,,,0.17452860948859572,True,False,True,,,,26.849518685412274
369,True,179.0,False,,,0.9989430468303003,True,True,False,,,,50.84826977507292
370,True,131.0,False,,,0.12270500607012413,True,False,True,,,,15.644717249077615
371,False,,False,,,,False,False,False,,,,
372,True,129.0,False,,,0.8015863097133742,True,True,False,,,,43.101298437394426
373,False,,False,,,,False,False,False,,,,
374,False,,False,,,,False,False,False,,,,
375,False,,False,,,,False,False,False,,,,
376,False,,False,,,,False,False,False,,,,
377,True,206.0,False,,,0.15048010473661177,True,False,True,,,,24.797616027420755
378,False,,False,,,,False,False,False,,,,
379,True,119.0,False,,,0.9967286412239751,True,True,False,,,,49.29180813206037
380,False,,False,,,,False,False,False,,,,
381,True,64.0,False,,,0.11994494787076793,True,False,True,,,,17.267934506800763
382,False,,False,,,,False,False,False,,,,
383,True,87.0,False,,,0.5116036480736103,True,True,False,,,,39.12922779511495
384,True,140.0,False,,,0.40159191518721127,True,True,False,,,,36.3909821273755
385,False,,False,,,,False,False,False,,,,
386,True,105.0,False,,,0.23769184878289873,True,True,False,,,,29.17211923481733
387,True,179.0,False,,,0.6658404214048141,True,True,False,,,,41.210614439907815
388,True,209.0,False,,,0.13097209789751718,True,False,True,,,,12.388401651444829
389,False,,False,,,,False,False,False,,,,
390,False,,False,,,,False,False,False,,,,
391,True,96.0,False,,,0.6384745985291145,True,True,False,,,,40.85002996316024
392,True,93.0,False,,,0.9863147343342435,True,True,False,,,,47.54057645667095
393,True,99.0,False,,,0.9996985263467377,True,True,False,,,,52.633161951385105
394,True,145.0,False,,,0.8805501187546777,True,True,False,,,,44.37499087790363
395,False,,False,,,,False,False,False,,,,
396,True,189.0,False,,,0.18753116079987764,True,False,True,,,,0.05632545700017828
397,False,,False,,,,False,False,False,,,,
398,False,,False,,,,False,False,False,,,,
399,True,65.0,False,,,0.125957411275175,True,False,True,,,,14.201777569743497
400,False,,False,,,,False,False,False,,,,
401,False,,False,,,,False,False,False,,,,
402,True,185.0,False,,,0.1250780693881629,True,False,True,,,,14.563252588278838
403,False,,False,,,,False,False,False,,,,
404,False,,False,,,,False,False,False,,,,
405,True,180.0,False,,,0.1290020109251815,True,False,True,,,,22.807368617820252
406,False,,False,,,,False,False,False,,,,
407,True,130.0,False,,,0.30526728741700093,True,True,False,,,,32.14305718866832
408,False,,False,,,,False,False,False,,,,
409,False,,False,,,,False,False,False,,,,
410,True,85.0,False,,,0.11821228099970016,True,False,True,,,,19.325626350633417
411,False,,False,,,,False,False,False,,,,
412,False,,False,,,,False,False,False,,,,
413,True,193.0,False,,,0.9999988867737272,True,True,False,,,,60.12307520696403
414,True,83.0,False,,,0.5903914008273824,True,True,False,,,,40.242774567256376
415,True,64.0,False,,,0.1207029059888699,True,False,True,,,,20.996589200995345
416,True,188.0,False,,,0.13416181881242162,True,False,True,,,,11.38283341555778
417,True,220.0,False,,,0.12259308363200694,True,False,True,,,,15.700730186443506
418,False,,False,,,,False,False,False,,,,
419,True,173.0,False,,,0.2961302702031249,True,True,False,,,,31.663958651898334
420,False,,False,,,,False,False,False,,,,
421,True,162.0,False,,,0.18656090153568938,True,False,True,,,,27.379514796292558
422,False,,False,,,,False,False,False,,,,
423,True,90.0,False,,,0.45537269213149534,True,True,False,,,,38.10823165346897
424,True,111.0,False,,,0.4502548777935197,True,True,False,,,,37.99050331190532
425,True,125.0,False,,,0.3611957872798335,True,True,False,,,,34.580840466461645
426,False,,False,,,,False,False,False,,,,
427,True,74.0,False,,,0.15207339479287352,True,False,True,,,,25.14468672632053
428,True,225.0,False,,,0.1295701571782959,True,False,True,,,,12.861460916402079
429,False,,False,,,,False,False,False,,,,
430,True,97.0,False,,,0.9899162645225227,True,True,False,,,,47.90108917237565
431,False,,False,,,,False,False,False,,,,
432,True,128.0,False,,,0.5708978926294275,True,True,False,,,,39.97537338108529
433,False,,False,,,,False,False,False,,,,
434,True,157.0,False,,,0.4173464845453585,True,True,False,,,,37.01512703876384
435,True,67.0,False,,,0.12086530835821929,True,False,True,,,,16.654681378383202
436,False,,False,,,,False,False,False,,,,
437,False,,False,,,,False,False,False,,,,
438,True,242.0,False,,,0.1329811352719228,True,False,True,,,,11.744859855871663
439,False,,False,,,,False,False,False,,,,
440,False,,False,,,,False,False,False,,,,
441,True,157.0,False,,,0.1771599918319775,True,False,True,,,,26.97056011157043
442,False,,False,,,,False,False,False,,,,
443,False,,False,,,,False,False,False,,,,
444,False,,False,,,,False,False,False,,,,
445,True,94.0,False,,,0.32557754935224603,True,True,False,,,,33.11254689850158
446,False,,False,,,,False,False,False,,,,
449,True,213.0,False,,,0.12398370900310751,True,False,True,,,,15.039777090707652
450,False,,False,,,,False,False,False,,,,
451,False,,False,,,,False,False,False,,,,
452,False,,False,,,,False,False,False,,,,
453,True,202.0,False,,,0.13385462251438662,True,False,True,,,,11.475975462831958
454,False,,False,,,,False,False,False,,,,
455,False,,False,,,,False,False,False,,,,
456,False,,False,,,,False,False,False,,,,
457,False,,False,,,,False,False,False,,,,
458,False,,False,,,,False,False,False,,,,
459,True,168.0,False,,,0.9999996097344588,True,True,False,,,,61.45167322413623
460,True,106.0,False,,,0.9999031147438325,True,True,False,,,,54.21048747859239
461,False,,False,,,,False,False,False,,,,
462,False,,False,,,,False,False,False,,,,
463,False,,False,,,,False,False,False,,,,
464,False,,False,,,,False,False,False,,,,
465,True,85.0,False,,,0.9864936111794678,True,True,False,,,,47.55617711816912
466,False,,False,,,,False,False,False,,,,
467,False,,False,,,,False,False,False,,,,
468,False,,False,,,,False,False,False,,,,
469,False,,False,,,,False,False,False,,,,
470,True,172.0,False,,,0.1732256552127288,True,False,True,,,,26.787805353471036
471,False,,False,,,,False,False,False,,,,
472,False,,False,,,,False,False,False,,,,
473,False,,False,,,,False,False,False,,,,
474,True,91.0,False,,,0.9997370671225009,True,True,False,,,,52.834500047072744
475,True,209.0,False,,,0.9139505749761752,True,True,False,,,,45.013975922460396
476,False,,False,,,,False,False,False,,,,
477,True,74.0,False,,,0.9211148497084942,True,True,False,,,,45.165637140947304
478,True,134.0,False,,,0.12120027452177373,True,False,True,,,,16.453783251913304
479,True,172.0,False,,,0.1296860793955822,True,False,True,,,,12.821503124926652
480,True,146.0,False,,,0.9999991124944739,True,True,False,,,,60.41397066254918
481,False,,False,,,,False,False,False,,,,
482,True,195.0,False,,,0.8719812233559103,True,True,False,,,,44.225379669391735
483,False,,False,,,,False,False,False,,,,
484,False,,False,,,,False,False,False,,,,
485,False,,False,,,,False,False,False,,,,
486,False,,False,,,,False,False,False,,,,
